date,CSI300,STAR50,CGB
2020-04-30,3.908,,126.435
2020-05-06,3.918,,126.176
2020-05-07,3.911,,125.447
2020-05-08,3.953,,125.285
2020-05-11,3.946,,125.013
2020-05-12,3.945,,125.188
2020-05-13,3.954,,125.12
2020-05-14,3.921,,125.324
2020-05-15,3.902,,125.536
2020-05-18,3.914,,125.102
2020-05-19,3.943,,124.91
2020-05-20,3.927,,124.508
2020-05-21,3.901,,124.534
2020-05-22,3.815,,125.08
2020-05-25,3.817,,124.758
2020-05-26,3.863,,124.079
2020-05-27,3.845,,123.787
2020-05-28,3.85,,124.028
2020-05-29,3.866,,123.892
2020-06-01,3.968,,123.721
2020-06-02,3.979,,123.138
2020-06-03,3.978,,122.826
2020-06-04,3.98,,122.701
2020-06-05,4.003,,122.568
2020-06-08,4.022,,122.889
2020-06-09,4.049,,122.959
2020-06-10,4.04,,122.651
2020-06-11,4.003,,122.826
2020-06-12,4.013,,123.011
2020-06-15,3.956,,123.149
2020-06-16,4.018,,122.472
2020-06-17,4.022,,122.01
2020-06-18,4.053,,121.971
2020-06-19,4.105,,121.8
2020-06-22,4.109,,121.942
2020-06-23,4.128,,121.401
2020-06-24,4.164,,121.898
2020-06-29,4.128,,122.145
2020-06-30,4.178,,121.996
2020-07-01,4.272,,122.158
2020-07-02,4.37,,122.294
2020-07-03,4.457,,122.145
2020-07-06,4.784,,121.416
2020-07-07,4.736,,121.098
2020-07-08,4.798,,120.875
2020-07-09,4.872,,120.887
2020-07-10,4.785,,121.253
2020-07-13,4.885,,120.94
2020-07-14,4.842,,121.4
2020-07-15,4.784,,121.617
2020-07-16,4.556,,122.016
2020-07-17,4.605,,121.801
2020-07-20,4.727,,121.543
2020-07-21,4.739,,121.769
2020-07-22,4.792,,122.202
2020-07-23,4.766,,122.492
2020-07-24,4.554,,122.361
2020-07-27,4.582,,122.49
2020-07-28,4.617,,122.248
2020-07-29,4.749,,122.112
2020-07-30,4.714,,121.985
2020-07-31,4.75,,121.756
