date,CGB
2020-03-25,122.331
2020-03-26,122.597
2020-03-27,122.8
2020-03-30,122.958
2020-03-31,123.193
2020-04-01,123.425
2020-04-02,123.271
2020-04-03,123.213
2020-04-07,123.862
2020-04-08,124.385
2020-04-09,124.525
2020-04-10,124.284
2020-04-13,124.458
2020-04-14,124.498
2020-04-15,125.087
2020-04-16,124.963
2020-04-17,124.884
2020-04-20,124.875
2020-04-21,124.939
2020-04-22,125.393
2020-04-23,125.788
2020-04-24,125.864
2020-04-27,125.896
2020-04-28,126.029
2020-04-29,126.398
2020-04-30,126.435
2020-05-06,126.176
2020-05-07,125.447
2020-05-08,125.285
2020-05-11,125.013
2020-05-12,125.188
2020-05-13,125.12
2020-05-14,125.324
2020-05-15,125.536
2020-05-18,125.102
2020-05-19,124.91
2020-05-20,124.508
2020-05-21,124.534
2020-05-22,125.08
2020-05-25,124.758
2020-05-26,124.079
2020-05-27,123.787
2020-05-28,124.028
2020-05-29,123.892
2020-06-01,123.721
2020-06-02,123.138
2020-06-03,122.826
2020-06-04,122.701
2020-06-05,122.568
2020-06-08,122.889
2020-06-09,122.959
2020-06-10,122.651
2020-06-11,122.826
2020-06-12,123.011
2020-06-15,123.149
2020-06-16,122.472
2020-06-17,122.01
2020-06-18,121.971
2020-06-19,121.8
2020-06-22,121.942
2020-06-23,121.401
2020-06-24,121.898
2020-06-29,122.145
2020-06-30,121.996
2020-07-01,122.158
2020-07-02,122.294
2020-07-03,122.145
2020-07-06,121.416
2020-07-07,121.098
2020-07-08,120.875
2020-07-09,120.887
2020-07-10,121.253
2020-07-13,120.94
2020-07-14,121.4
2020-07-15,121.617
2020-07-16,122.016
2020-07-17,121.801
2020-07-20,121.543
2020-07-21,121.769
2020-07-22,122.202
2020-07-23,122.492
2020-07-24,122.361
2020-07-27,122.49
2020-07-28,122.248
2020-07-29,122.112
2020-07-30,121.985
2020-07-31,121.756
2020-08-03,121.656
2020-08-04,121.671
2020-08-05,121.726
2020-08-06,121.621
2020-08-07,121.616
2020-08-10,121.611
2020-08-11,121.588
2020-08-12,121.166
2020-08-13,121.278
2020-08-14,121.301
2020-08-17,121.429
2020-08-18,121.507
2020-08-19,121.39
2020-08-20,121.122
2020-08-21,121.144
2020-08-24,121.12
2020-08-25,120.866
2020-08-26,120.745
2020-08-27,120.485
2020-08-28,120.403
2020-08-31,120.488
2020-09-01,120.853
2020-09-02,120.715
2020-09-03,120.692
2020-09-04,120.496
2020-09-07,120.212
2020-09-08,120.428
2020-09-09,120.541
2020-09-10,120.777
2020-09-11,120.706
2020-09-14,120.495
2020-09-15,120.626
2020-09-16,120.675
2020-09-17,120.71
2020-09-18,120.714
2020-09-21,121.058
2020-09-22,121.217
2020-09-23,121.182
2020-09-24,121.081
2020-09-25,120.955
2020-09-28,120.854
2020-09-29,120.746
2020-09-30,120.7
2020-10-09,120.523
2020-10-12,120.6
2020-10-13,120.436
2020-10-14,120.429
2020-10-15,120.291
2020-10-16,120.481
2020-10-19,120.729
2020-10-20,120.771
2020-10-21,120.878
2020-10-22,121.001
2020-10-23,120.823
2020-10-26,120.71
2020-10-27,120.942
2020-10-28,120.875
2020-10-29,120.82
2020-10-30,120.961
2020-11-02,121.177
2020-11-03,121.136
2020-11-04,121.214
2020-11-05,121.083
2020-11-06,120.916
2020-11-09,120.734
2020-11-10,120.768
2020-11-11,120.752
2020-11-12,120.701
2020-11-13,120.442
2020-11-16,120.646
2020-11-17,120.579
2020-11-18,120.412
2020-11-19,120.347
2020-11-20,120.347
2020-11-23,120.657
2020-11-24,120.524
2020-11-25,120.585
2020-11-26,120.551
2020-11-27,120.504
2020-11-30,120.786
2020-12-01,120.599
2020-12-02,120.633
2020-12-03,120.542
2020-12-04,120.735
2020-12-07,120.668
2020-12-08,120.718
2020-12-09,120.764
2020-12-10,120.763
2020-12-11,120.623
2020-12-14,120.515
2020-12-15,120.718
2020-12-16,120.784
2020-12-17,120.736
2020-12-18,120.666
2020-12-21,120.809
2020-12-22,121.028
2020-12-23,121.098
2020-12-24,121.121
2020-12-25,121.251
2020-12-28,121.131
2020-12-29,121.2
2020-12-30,121.266
2020-12-31,121.312
2021-01-04,121.124
2021-01-05,121.242
2021-01-06,121.493
2021-01-07,121.564
2021-01-08,121.509
2021-01-11,121.392
2021-01-12,121.518
2021-01-13,121.757
2021-01-14,122.008
2021-01-15,121.86
2021-01-18,121.692
2021-01-19,121.468
2021-01-20,121.663
2021-01-21,121.81
2021-01-22,121.865
2021-01-25,121.868
2021-01-26,121.452
2021-01-27,121.48
2021-01-28,121.386
2021-01-29,121.41
2021-02-01,121.529
2021-02-02,121.591
2021-02-03,121.666
2021-02-04,121.638
2021-02-05,121.447
2021-02-08,121.307
2021-02-09,121.294
2021-02-10,121.466
2021-02-18,121.349
2021-02-19,121.365
2021-02-22,121.419
2021-02-23,121.549
2021-02-24,121.771
2021-02-25,121.756
2021-02-26,121.508
2021-03-01,121.503
2021-03-02,121.983
2021-03-03,121.904
2021-03-04,121.852
2021-03-05,121.991
2021-03-08,121.99
2021-03-09,121.854
2021-03-10,121.929
2021-03-11,121.844
2021-03-12,121.854
2021-03-15,121.791
2021-03-16,121.627
2021-03-17,121.673
2021-03-18,121.618
2021-03-19,121.594
2021-03-22,121.61
2021-03-23,121.639
2021-03-24,121.79
2021-03-25,121.885
2021-03-26,121.72
2021-03-29,121.71
2021-03-30,121.902
2021-03-31,121.934
2021-04-01,121.9
2021-04-02,122.082
2021-04-06,122.004
2021-04-07,121.987
2021-04-08,121.829
2021-04-09,121.825
2021-04-12,122.049
2021-04-13,122.313
2021-04-14,122.273
2021-04-15,122.279
2021-04-16,122.339
2021-04-19,122.261
2021-04-20,122.322
2021-04-21,122.555
2021-04-22,122.457
2021-04-23,122.746
2021-04-26,122.581
2021-04-27,122.483
2021-04-28,122.398
2021-04-29,122.452
2021-04-30,122.6
2021-05-06,122.633
2021-05-07,122.587
2021-05-10,122.65
2021-05-11,122.892
2021-05-12,122.9
2021-05-13,122.726
2021-05-14,122.739
2021-05-17,122.887
2021-05-18,122.856
2021-05-19,123.059
2021-05-20,123.229
2021-05-21,123.351
2021-05-24,123.377
2021-05-25,123.167
2021-05-26,123.225
2021-05-27,123.134
2021-05-28,123.132
2021-05-31,122.902
2021-06-01,123.071
2021-06-02,122.985
2021-06-03,122.966
2021-06-04,123.015
2021-06-07,122.876
2021-06-08,122.896
2021-06-09,122.86
2021-06-10,122.888
2021-06-11,122.712
2021-06-15,122.69
2021-06-16,122.937
2021-06-17,122.873
2021-06-18,122.968
2021-06-21,123.227
2021-06-22,123.161
2021-06-23,123.13
2021-06-24,123.047
2021-06-25,123.091
2021-06-28,123.231
2021-06-29,123.378
2021-06-30,123.523
2021-07-01,123.485
2021-07-02,123.467
2021-07-05,123.482
2021-07-06,123.518
2021-07-07,123.655
2021-07-08,123.837
2021-07-09,123.887
2021-07-12,123.912
2021-07-13,124.212
2021-07-14,124.279
2021-07-15,124.022
2021-07-16,124.1
2021-07-19,124.114
2021-07-20,124.204
2021-07-21,124.321
2021-07-22,124.341
2021-07-23,124.386
2021-07-26,124.701
2021-07-27,124.856
2021-07-28,124.721
2021-07-29,124.646
2021-07-30,124.826
2021-08-02,125.17
2021-08-03,125.111
2021-08-04,125.034
2021-08-05,124.984
2021-08-06,125.019
2021-08-09,124.731
2021-08-10,124.615
2021-08-11,124.493
2021-08-12,124.6
2021-08-13,124.832
2021-08-16,124.827
2021-08-17,125.025
2021-08-18,125.102
2021-08-19,125.088
2021-08-20,125.166
2021-08-23,125.092
2021-08-24,125.04
2021-08-25,125.085
2021-08-26,124.777
2021-08-27,124.815
2021-08-30,124.86
2021-08-31,125.033
2021-09-01,125.1
2021-09-02,125.093
2021-09-03,125.128
2021-09-06,125.024
2021-09-07,124.928
2021-09-08,124.893
2021-09-09,124.907
2021-09-10,124.905
2021-09-13,124.859
2021-09-14,124.792
2021-09-15,124.815
2021-09-16,124.65
2021-09-17,124.758
2021-09-22,124.821
2021-09-23,124.986
2021-09-24,124.975
2021-09-27,124.971
2021-09-28,124.989
2021-09-29,125.291
2021-09-30,125.349
2021-10-08,125.148
2021-10-11,124.99
2021-10-12,124.806
2021-10-13,124.76
2021-10-14,124.789
2021-10-15,124.77
2021-10-18,124.392
2021-10-19,124.38
2021-10-20,124.42
2021-10-21,124.598
2021-10-22,124.453
2021-10-25,124.48
2021-10-26,124.573
2021-10-27,124.609
2021-10-28,124.589
2021-10-29,124.686
2021-11-01,124.777
2021-11-02,124.878
2021-11-03,124.976
2021-11-04,124.932
2021-11-05,125.06
2021-11-08,125.173
2021-11-09,125.065
2021-11-10,125.228
2021-11-11,125.193
2021-11-12,125.055
2021-11-15,125.149
2021-11-16,125.197
2021-11-17,125.199
2021-11-18,125.281
2021-11-19,125.208
2021-11-22,125.256
2021-11-23,125.258
2021-11-24,125.349
2021-11-25,125.42
2021-11-26,125.674
2021-11-29,125.511
2021-11-30,125.529
2021-12-01,125.47
2021-12-02,125.404
2021-12-03,125.23
2021-12-06,125.481
2021-12-07,125.424
2021-12-08,125.455
2021-12-09,125.41
2021-12-10,125.489
2021-12-13,125.485
2021-12-14,125.682
2021-12-15,125.693
2021-12-16,125.654
2021-12-17,125.83
2021-12-20,125.806
2021-12-21,125.755
2021-12-22,125.829
2021-12-23,125.859
2021-12-24,125.85
2021-12-27,125.961
2021-12-28,126.021
2021-12-29,126.052
2021-12-30,126.372
2021-12-31,126.479
2022-01-04,126.418
2022-01-05,126.283
2022-01-06,126.214
2022-01-07,126.224
2022-01-10,126.368
2022-01-11,126.54
2022-01-12,126.588
2022-01-13,126.573
2022-01-14,126.869
2022-01-17,126.832
2022-01-18,127.198
2022-01-19,127.138
2022-01-20,127.116
2022-01-21,127.426
2022-01-24,127.875
2022-01-25,127.842
2022-01-26,127.259
2022-01-27,127.206
2022-01-28,127.464
2022-02-07,127.353
2022-02-08,127.504
2022-02-09,127.571
2022-02-10,127.687
2022-02-11,127.146
2022-02-14,127.035
2022-02-15,127.037
2022-02-16,127.134
2022-02-17,127.145
2022-02-18,127.067
2022-02-21,126.785
2022-02-22,126.716
2022-02-23,126.849
2022-02-24,126.893
2022-02-25,126.97
2022-02-28,127.013
2022-03-01,126.794
2022-03-02,126.737
2022-03-03,126.743
2022-03-04,126.683
2022-03-07,126.948
2022-03-08,127.075
2022-03-09,126.8
2022-03-10,126.852
2022-03-11,127.079
2022-03-14,127.44
2022-03-15,126.974
2022-03-16,126.91
2022-03-17,126.934
2022-03-18,127.105
2022-03-21,127.055
2022-03-22,126.91
2022-03-23,126.951
2022-03-24,127.055
2022-03-25,127.16
2022-03-28,127.165
2022-03-29,127.107
2022-03-30,127.077
2022-03-31,126.976
2022-04-01,127.134
2022-04-06,127.25
2022-04-07,127.395
2022-04-08,127.566
2022-04-11,127.31
2022-04-12,127.357
2022-04-13,127.394
2022-04-14,127.595
2022-04-15,127.483
2022-04-18,127.335
2022-04-19,127.384
2022-04-20,127.42
2022-04-21,127.31
2022-04-22,127.278
2022-04-25,127.285
2022-04-26,127.357
2022-04-27,127.316
2022-04-28,127.248
2022-04-29,127.379
2022-05-05,127.38
2022-05-06,127.285
2022-05-09,127.367
2022-05-10,127.629
2022-05-11,127.532
2022-05-12,127.6
2022-05-13,127.708
2022-05-16,127.693
2022-05-17,127.842
2022-05-18,128.04
2022-05-19,127.936
2022-05-20,127.867
2022-05-23,127.922
2022-05-24,127.984
2022-05-25,128.084
2022-05-26,128.316
2022-05-27,128.1
2022-05-30,127.95
2022-05-31,127.831
2022-06-01,127.795
2022-06-02,127.774
2022-06-06,127.815
2022-06-07,127.809
2022-06-08,127.779
2022-06-09,127.8
2022-06-10,127.754
2022-06-13,127.748
2022-06-14,127.687
2022-06-15,127.63
2022-06-16,127.625
2022-06-17,127.73
2022-06-20,127.714
2022-06-21,127.697
2022-06-22,127.792
2022-06-23,127.792
2022-06-24,127.799
2022-06-27,127.607
2022-06-28,127.622
2022-06-29,127.721
2022-06-30,127.725
2022-07-01,127.907
2022-07-04,127.686
2022-07-05,127.568
2022-07-06,127.605
2022-07-07,127.613
2022-07-08,127.556
2022-07-11,127.601
2022-07-12,127.677
2022-07-13,127.753
2022-07-14,127.852
2022-07-15,128.028
2022-07-18,127.939
2022-07-19,127.891
2022-07-20,127.942
2022-07-21,128.015
2022-07-22,128.108
2022-07-25,128.129
2022-07-26,128.257
2022-07-27,128.266
2022-07-28,128.24
2022-07-29,128.499
2022-08-01,128.694
2022-08-02,128.877
2022-08-03,128.833
2022-08-04,128.985
2022-08-05,128.795
2022-08-08,128.82
2022-08-09,128.734
2022-08-10,128.787
2022-08-11,128.752
2022-08-12,128.755
2022-08-15,129.205
2022-08-16,129.384
2022-08-17,129.414
2022-08-18,129.5
2022-08-19,129.589
2022-08-22,129.595
2022-08-23,129.505
2022-08-24,129.475
2022-08-25,129.391
2022-08-26,129.332
2022-08-29,129.34
2022-08-30,129.456
2022-08-31,129.508
2022-09-01,129.521
2022-09-02,129.675
2022-09-05,129.729
2022-09-06,129.685
2022-09-07,129.691
2022-09-08,129.643
2022-09-09,129.532
2022-09-13,129.426
2022-09-14,129.313
2022-09-15,129.308
2022-09-16,129.193
2022-09-19,129.208
2022-09-20,129.352
2022-09-21,129.378
2022-09-22,129.375
2022-09-23,129.248
2022-09-26,128.946
2022-09-27,128.948
2022-09-28,128.905
2022-09-29,128.684
2022-09-30,128.78
2022-10-10,128.99
2022-10-11,129.159
2022-10-12,129.071
2022-10-13,129.158
2022-10-14,129.45
2022-10-17,129.265
2022-10-18,129.246
2022-10-19,129.339
2022-10-20,129.249
2022-10-21,129.264
2022-10-24,129.375
2022-10-25,129.297
2022-10-26,129.303
2022-10-27,129.394
2022-10-28,129.575
2022-10-31,129.668
2022-11-01,129.537
2022-11-02,129.42
2022-11-03,129.537
2022-11-04,129.413
2022-11-07,129.412
2022-11-08,129.441
2022-11-09,129.51
2022-11-10,129.419
2022-11-11,129.167
2022-11-14,128.821
2022-11-15,128.68
2022-11-16,128.481
2022-11-17,128.64
2022-11-18,128.57
2022-11-21,128.809
2022-11-22,128.863
2022-11-23,129.083
2022-11-24,129.243
2022-11-25,129.0
2022-11-28,128.763
2022-11-29,128.414
2022-11-30,128.508
2022-12-01,128.582
2022-12-02,128.621
2022-12-05,128.564
2022-12-06,128.431
2022-12-07,128.355
2022-12-08,128.541
2022-12-09,128.431
2022-12-12,128.452
2022-12-13,128.155
2022-12-14,128.42
2022-12-15,128.501
2022-12-16,128.469
