date,CGB,CSI300,STAR50
2020-07-08,120.875,4.798,
2020-07-09,120.887,4.872,
2020-07-10,121.253,4.785,
2020-07-13,120.94,4.885,
2020-07-14,121.4,4.842,
2020-07-15,121.617,4.784,
2020-07-16,122.016,4.556,
2020-07-17,121.801,4.605,
2020-07-20,121.543,4.727,
2020-07-21,121.769,4.739,
2020-07-22,122.202,4.792,
2020-07-23,122.492,4.766,
2020-07-24,122.361,4.554,
2020-07-27,122.49,4.582,
2020-07-28,122.248,4.617,
2020-07-29,122.112,4.749,
2020-07-30,121.985,4.714,
2020-07-31,121.756,4.75,
2020-08-03,121.656,4.825,
2020-08-04,121.671,4.829,
2020-08-05,121.726,4.831,
2020-08-06,121.621,4.813,
2020-08-07,121.616,4.765,
2020-08-10,121.611,4.781,
2020-08-11,121.588,4.734,
2020-08-12,121.166,4.702,
2020-08-13,121.278,4.687,
2020-08-14,121.301,4.778,
2020-08-17,121.429,4.877,
2020-08-18,121.507,4.87,
2020-08-19,121.39,4.794,
2020-08-20,121.122,4.743,
2020-08-21,121.144,4.783,
2020-08-24,121.12,4.813,
2020-08-25,120.866,4.822,
2020-08-26,120.745,4.763,
2020-08-27,120.485,4.799,
2020-08-28,120.403,4.917,
2020-08-31,120.488,4.874,
2020-09-01,120.853,4.908,
2020-09-02,120.715,4.904,
2020-09-03,120.692,4.884,
2020-09-04,120.496,4.829,
2020-09-07,120.212,4.732,
2020-09-08,120.428,4.756,
2020-09-09,120.541,4.645,
2020-09-10,120.777,4.649,
2020-09-11,120.706,4.685,
2020-09-14,120.495,4.712,
2020-09-15,120.626,4.747,
2020-09-16,120.675,4.719,
2020-09-17,120.71,4.69,
2020-09-18,120.714,4.811,
2020-09-21,121.058,4.756,
2020-09-22,121.217,4.699,
2020-09-23,121.182,4.713,
2020-09-24,121.081,4.636,
2020-09-25,120.955,4.639,
2020-09-28,120.854,4.649,
2020-09-29,120.746,4.66,
2020-09-30,120.7,4.646,
2020-10-09,120.523,4.739,
2020-10-12,120.6,4.887,
2020-10-13,120.436,4.903,
2020-10-14,120.429,4.879,
2020-10-15,120.291,4.867,
2020-10-16,120.481,4.853,
2020-10-19,120.729,4.822,
2020-10-20,120.771,4.852,
2020-10-21,120.878,4.858,
2020-10-22,121.001,4.842,
2020-10-23,120.823,4.786,
2020-10-26,120.71,4.75,
2020-10-27,120.942,4.764,
2020-10-28,120.875,4.804,
2020-10-29,120.82,4.848,
2020-10-30,120.961,4.757,
2020-11-02,121.177,4.785,
2020-11-03,121.136,4.836,
2020-11-04,121.214,4.873,
2020-11-05,121.083,4.949,
2020-11-06,120.916,4.951,
2020-11-09,120.734,5.048,
2020-11-10,120.768,5.021,
2020-11-11,120.752,4.974,
2020-11-12,120.701,4.971,
2020-11-13,120.442,4.92,
2020-11-16,120.646,4.973,1.465
2020-11-17,120.579,4.964,1.436
2020-11-18,120.412,4.957,1.424
2020-11-19,120.347,4.999,1.438
2020-11-20,120.347,5.014,1.435
2020-11-23,120.657,5.072,1.422
2020-11-24,120.524,5.04,1.416
2020-11-25,120.585,4.978,1.393
2020-11-26,120.551,4.985,1.39
2020-11-27,120.504,5.056,1.392
2020-11-30,120.786,5.031,1.391
2020-12-01,120.599,5.142,1.409
2020-12-02,120.633,5.131,1.414
2020-12-03,120.542,5.129,1.417
2020-12-04,120.735,5.14,1.411
